Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1890-01-31,5.38,0.22,0.2992,7.611651901,3.42,201.8949342386644,8.255926678904492,11.22806028331011,17.2200719821819
1890-02-28,5.32,0.22,0.2983,7.611651901,3.4366666666666665,199.64331787169047,8.255926678904492,11.194286037805501,17.026814982671407
1890-03-31,5.28,0.22,0.2975,7.611651901,3.4533333333333336,198.14224029370783,8.255926678904492,11.164264486245848,16.901122288589903
1890-04-30,5.39,0.22,0.2967,7.611651901,3.4699999999999998,202.27020363316007,8.255926678904492,11.134242934686197,17.257854542603198
1890-05-31,5.62,0.22,0.2958,7.706792893,3.4866666666666664,208.29780458458728,8.15400658516178,10.963432490412975,17.786430487858617
1890-06-30,5.58,0.22,0.295,7.706792893,3.5033333333333334,206.81525793273968,8.15400658516178,10.93378155737602,17.68436084445017
1890-07-31,5.54,0.22,0.2942,7.706792893,3.5199999999999996,205.33271128089208,8.15400658516178,10.904130624339071,17.589295440864863
1890-08-31,5.41,0.22,0.2933,7.992232066,3.536666666666667,193.35314681038943,7.862789703934506,10.482528273472685,16.596791133979103
1890-09-30,5.32,0.22,0.2925,8.087381157,3.5533333333333337,187.8995697741664,7.770282960585829,10.330944390778884,16.1697020006153
1890-10-31,5.08,0.22,0.2917,8.087381157,3.57,179.4228974535273,7.770282960585829,10.302688816376756,15.482849163344435
1890-11-30,4.71,0.22,0.2908,7.897091074,3.586666666666667,170.36321442834102,7.957517446759029,10.51839124326148,14.745043493292801
1890-12-31,4.6,0.22,0.29,7.897091074,3.6033333333333335,166.3844557049615,7.957517446759029,10.489454816182356,14.442991231338437
1891-01-31,4.84,0.22,0.2942,7.801941983,3.62,177.20040510585787,8.054563868448085,10.77114859135194,15.428980086469092
1891-02-28,4.9,0.22,0.2983,7.897091074,3.618333333333333,177.23561585963293,7.957517446759029,10.789670247128264,15.47652233243254
1891-03-31,4.81,0.22,0.3025,7.992232066,3.616666666666667,171.90917489056804,7.862789703934506,10.811335842909946,15.051623357657386
